Unique_ID,Folder,Full_path,Alloy,Total_atoms,Structure (By OVITO),POTCAR_used,Lattice_parameter_x (Å),Lattice_parameter_y (Å),Lattice_parameter_z (Å),Volumetric_lattice_parameter (Å),LLD (Å),Fermi_energy (eV),Nef (states/eV/atom),Bonding_area (states·eV/atom),Antibonding_area (states·eV/atom),Ratio_DOS_Area,D_band_center (eV),t2g_NEF (states/eV/atom),eg_NEF (states/eV/atom),W_present,Mo_present,Ta_present,Nb_present,V_present,Cr_present,Fe_present,Li_present,K_present,Rb_present,Cs_present,Ba_present,Ra_present,Ca_present,Sr_present,Rh_present,Ir_present,Ni_present,Pd_present,Pt_present,Cu_present,Ag_present,Au_present,Al_present,Ne_present,Ar_present,Kr_present,Xe_present,Be_present,Mg_present,Sc_present,Y_present,Ti_present,Zr_present,Hf_present,Tc_present,Re_present,Ru_present,Os_present,Co_present,Zn_present,Cd_present,He_present,W_comp,Mo_comp,Ta_comp,Nb_comp,V_comp,Cr_comp,Fe_comp,Li_comp,K_comp,Rb_comp,Cs_comp,Ba_comp,Ra_comp,Ca_comp,Sr_comp,Rh_comp,Ir_comp,Ni_comp,Pd_comp,Pt_comp,Cu_comp,Ag_comp,Au_comp,Al_comp,Ne_comp,Ar_comp,Kr_comp,Xe_comp,Be_comp,Mg_comp,Sc_comp,Y_comp,Ti_comp,Zr_comp,Hf_comp,Tc_comp,Re_comp,Ru_comp,Os_comp,Co_comp,Zn_comp,Cd_comp,He_comp,Structure_individual_BCC,Structure_individual_FCC,Structure_individual_HCP,is_PDOS_USER_D.dat,is_TDOS.dat,is_POTCAR,is_FERMI_ENERGY,User,C_11 [GPa],C_12 [GPa],C_13 [GPa],C_23 [GPa],C_22 [GPa],C_33 [GPa],C_44 [GPa],C_55 [GPa],C_66 [GPa],G_V [GPa],G_R [GPa],G [GPa],B [GPa],E_100 [GPa],E_110 [GPa],E_111 [GPa],E_113 [GPa],E_331 [GPa],E_VRH [GPa],Poisson's ratio [],Pugh_Ratio,Inv_Pugh
unique_10,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/MoV/dos,Mo18V18,36,bcc,PAW_PBE Mo_sv 02Feb2006; PAW_PBE V_sv 02Aug2007,9.223350459,9.231252342,6.167756531,3.07843882,0.031967126,10.995446,1.047977914,4.606012361,3.586165817,,-0.044243211,0.609123848,0.131285322,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,405.836,140.313,140.313,140.313,405.836,405.836,56.914,56.914,56.914,87.253,73.773,80.513,228.821,333.74,181.625,157.67,218.695,173.938,216.183,0.343,0.351860188,2.842037929
unique_11,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/MoW/dos,Mo18W18,36,bcc,PAW_PBE Mo_sv 02Feb2006; PAW_PBE W_sv 04Sep2015,9.525572284,9.525849751,6.34339381,3.174056532,0.003795653,11.813953,0.490382338,3.958093889,3.008569092,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,Dharmendra,509.333,180.553,180.554,180.55,509.326,509.326,118.378,118.384,118.383,136.784,133.304,135.044,290.144,414.822,333.145,312.626,359.467,326.904,350.72,0.299,0.465437852,2.148514556
unique_15,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/MoZr/dos,Mo18Zr18,36,bcc,PAW_PBE Mo_sv 02Feb2006; PAW_PBE Zr_sv 04Jan2005,10.12654892,9.975316337,6.687872729,3.347644002,0.13815302,10.417996,1.229546972,4.484671236,3.040844814,,-0.12384397,0.56071278,0.183083416,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,209.214,113.064,113.062,113.063,209.226,209.212,33.288,33.291,33.287,39.204,37.959,38.582,145.115,129.887,99.909,92.772,109.29,97.723,106.322,0.378,0.265871895,3.761209886
unique_18,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/NbTi/dos,Nb18Ti18,36,bcc,PAW_PBE Nb_sv 25May2007; PAW_PBE Ti_sv 26Sep2005,9.813302619,9.778829054,6.609482458,3.2784005,0.087971266,9.724577,1.649465028,3.818735306,2.638437408,,-0.086508274,0.744660776,0.235200682,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,172.262,115.454,115.442,115.479,172.322,172.282,20.314,20.318,20.316,23.556,22.93,23.243,134.402,79.633,62.248,58.025,67.748,60.957,65.929,0.418,0.172936415,5.78247213
unique_19,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/NbZr/dos,Nb18Zr18,36,bcc,PAW_PBE Nb_sv 25May2007; PAW_PBE Zr_sv 04Jan2005,10.33781213,10.40734692,6.856587896,3.447740918,0.163055746,9.898797,1.49970873,4.13947875,2.400020453,,-0.127364546,0.602669209,0.198290688,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,140.037,104.089,104.093,104.131,140.054,140.098,12.182,12.189,12.186,14.503,13.989,14.246,116.091,51.29,38.302,35.321,42.284,37.384,41.058,0.441,0.122714078,8.149024271
unique_20,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/TaHf/dos,Hf18Ta18,36,bcc,PAW_PBE Hf_pv 06Sep2000; PAW_PBE Ta_pv 07Sep2000,10.30755581,10.24098891,6.911530367,3.435031665,0.172096556,4.991547,1.325938463,3.928221528,2.424805929,,-0.099807247,0.540021315,0.168007522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,168.327,122.13,122.129,122.13,168.325,168.329,49.962,49.962,49.961,39.216,34.099,36.658,137.529,65.622,106.163,133.695,86.328,112.927,101,0.378,0.266547419,3.751677671
unique_21,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/TaTi/dos,Ta18Ti18,36,bcc,PAW_PBE Ta_pv 07Sep2000; PAW_PBE Ti_sv 26Sep2005,9.865031869,9.78993939,6.619565961,3.287083484,0.07825287,6.739797,1.704650026,3.862343569,2.417123841,,-0.047618739,0.776202844,0.231901184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,187.354,123.391,123.392,123.391,187.349,187.348,38.801,38.802,38.797,36.072,35.75,35.911,144.711,89.356,101.865,106.851,96.824,103.267,99.503,0.385,0.248156671,4.029712342
unique_22,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/TaZr/dos,Ta18Zr18,36,bcc,PAW_PBE Ta_pv 07Sep2000; PAW_PBE Zr_sv 04Jan2005,10.19368387,10.39263011,6.990413244,3.452191204,0.168238748,7.392439,1.385762787,3.839281528,2.564707351,,-0.13561634,0.570886136,0.173824543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,139.608,114.885,114.891,114.896,139.604,139.611,36.625,36.623,36.624,26.918,20.513,23.716,123.13,35.876,69.102,99.961,51.398,75.919,66.855,0.41,0.192609437,5.191853606
unique_23,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/VNb/dos,Nb18V18,36,bcc,PAW_PBE Nb_sv 25May2007; PAW_PBE V_sv 02Aug2007,9.510263628,9.486543827,6.331014597,3.165922573,0.079635478,10.479017,1.802491404,4.293615111,3.029689573,,0.090463553,0.967635187,0.23742782,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,252.943,135.423,135.442,135.43,252.931,252.929,11.669,11.668,11.682,30.504,17.18,23.842,174.599,158.478,42.605,34.256,58.517,39.785,68.412,0.435,0.136552901,7.323169209
unique_24,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/VTa/dos,Ta18V18,36,bcc,PAW_PBE Ta_pv 07Sep2000; PAW_PBE V_sv 02Aug2007,9.53070352,9.526677591,6.352626947,3.176214004,0.068390671,7.139869,1.848709244,4.343877778,2.850542336,,0.130595233,0.993990337,0.240129586,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,259.72,154.744,154.744,154.744,259.72,259.72,32.236,32.236,32.236,40.337,38.119,39.228,189.736,144.17,100.719,91.524,113.433,97.859,110.096,0.403,0.206750432,4.836749265
unique_25,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/WHf/dos,Hf18W18,36,bcc,PAW_PBE Hf_pv 06Sep2000; PAW_PBE W_sv 04Sep2015,10.03378877,10.02447416,6.667586042,3.339905824,0.124684673,7.284408,1.124860591,3.851290556,3.063841972,,0.082543261,0.4908798,0.15232199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,242.768,137.835,137.832,137.829,242.771,242.765,51.522,51.521,51.522,51.9,51.896,51.898,172.811,142.938,141.172,140.593,141.823,141.003,141.527,0.364,0.300316531,3.329820029
unique_26,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/WNb/dos,Nb18W18,36,bcc,PAW_PBE Nb_sv 25May2007; PAW_PBE W_sv 04Sep2015,9.714318227,9.708492138,6.473926289,3.237077135,0.0237457,10.972672,0.870922271,4.451104583,3.255982361,,0.310968342,0.424968338,0.083658675,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,400.134,160.573,157.187,156.734,405.182,383.201,81.469,78.592,78.695,95.353,91.703,93.528,237.5,305.697,231.96,214.697,254.819,226.659,248.025,0.326,0.393802105,2.539346508
unique_27,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/WTa/dos,Ta18W18,36,bcc,PAW_PBE Ta_pv 07Sep2000; PAW_PBE W_sv 04Sep2015,9.752993814,9.726199693,6.47711283,3.243865407,0.03898024,7.90613,0.872819139,4.353912639,2.436449001,,-0.270653725,0.444390046,0.077463441,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,Dharmendra,366.04,194.65,188.872,188.872,366.04,384.939,66.495,72.951,72.951,78.788,77.448,78.118,251.312,242.337,204.033,193.821,216.776,200.954,212.351,0.359,0.310840708,3.21708185
unique_28,dos,/project/daidhy/mcdc/dpant/Project_3_DOS_4_bonds_5_ML_6_LLD/36-atom-Binary-DOS_E_VRH/WTi/dos,Ti18W18,36,bcc,PAW_PBE Ti_sv 26Sep2005; PAW_PBE W_sv 04Sep2015,9.566289268,9.567167291,6.406435517,3.193665202,0.059732267,9.500797,1.360008274,4.213503194,2.871401274,,0.067506425,0.663117499,0.18254761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Dharmendra,273.414,143.162,143.167,143.16,273.398,273.4,44.074,44.081,44.072,52.493,50.619,51.556,186.577,175.001,132.498,122.575,145.654,129.45,141.624,0.373,0.276325592,3.618919235
