ALLOY,STRUCTURE (By OVITO),POTCAR_USED,Lattice parameter a (Å),%Change_X (%),%Change_Y (%),%Change_Z (%),FERMI_ENERGY (eV),NEF_Total (states/eV/atom),ELEMENT_1_NEF,ELEMENT_2_NEF,Elements_PDOS_columns,PDOS_Column_list,Bonding_Area (states·eV),Antibonding_Area (states·eV),D_band_center (eV),D_band_center_Type,W_present,Mo_present,Ta_present,Nb_present,V_present,Cr_present,Fe_present,Li_present,K_present,Rb_present,Cs_present,Ba_present,Ra_present,Ca_present,Sr_present,Rh_present,Ir_present,Ni_present,Pd_present,Pt_present,Cu_present,Ag_present,Au_present,Al_present,Ne_present,Ar_present,Kr_present,Xe_present,Be_present,Mg_present,Sc_present,Y_present,Ti_present,Zr_present,Hf_present,Tc_present,Re_present,Ru_present,Os_present,Co_present,Zn_present,Cd_present,He_present,W_comp,Mo_comp,Ta_comp,Nb_comp,V_comp,Cr_comp,Fe_comp,Li_comp,K_comp,Rb_comp,Cs_comp,Ba_comp,Ra_comp,Ca_comp,Sr_comp,Rh_comp,Ir_comp,Ni_comp,Pd_comp,Pt_comp,Cu_comp,Ag_comp,Au_comp,Al_comp,Ne_comp,Ar_comp,Kr_comp,Xe_comp,Be_comp,Mg_comp,Sc_comp,Y_comp,Ti_comp,Zr_comp,Hf_comp,Tc_comp,Re_comp,Ru_comp,Os_comp,Co_comp,Zn_comp,Cd_comp,He_comp,Structure_individual_BCC,Structure_individual_FCC,Structure_individual_HCP
Mo10W44,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Mo_sv 02Feb2006,3.182306861106141,0.005743857,-0.012595725,0.006851868,11.365273,0.44411514403292185,0.099294835,0.3448203086419753,Element1:Mo_all;Element2:W_all,W_all;Mo_all,2.950584742037037,3.784913228425926,-0.000227243,PDOS_USER_D.dat (all atoms),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.481481,18.518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mo12W42,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Mo_sv 02Feb2006,3.181442702870097,0.010138504703312599,-0.013935088,0.003796583,11.413339,0.46043262962962966,0.12166651851851851,0.33876611111111116,Element1:Mo_all;Element2:W_all,W_all;Mo_all,2.9790928912037034,3.8044471759259264,-0.016437333,PDOS_USER_D.dat (all atoms),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.777778,22.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Os2W52,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Os 17Jan2003,3.1809779657660586,0,0,0,11.159127,0.3951059629629629,0.034756389,0.36034957407407403,Element1:Os_all;Element2:W_all,W_all;Os_all,2.916247794351852,2.404946627,-1.204470642,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96.296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703704,0,0,0,0,1,0,1
Os6W48,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Os 17Jan2003,3.1744419264350805,0.11366781056554162,-0.091670146,-0.021997664,10.994755,0.47089053497942385,0.10512847736625514,0.3657620576131687,Element1:Os_all;Element2:W_all,W_all;Os_all,3.0297729049999997,2.826374395277778,-1.037302163,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88.888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111111,0,0,0,0,1,0,1
Os8W46,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Os 17Jan2003,3.171351769,0.1359608915556825,-0.10353996,-0.032420931,10.913887,0.5803064197530864,0.1566614609053498,0.4236449588477366,Element1:Os_all;Element2:W_all,W_all;Os_all,3.0862445534259257,3.045769539166667,-0.975091197,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85.185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.814815,0,0,0,0,1,0,1
Os10W44,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Os 17Jan2003,3.1675818130457585,-0.284519868,-0.110708694,0.39522856232271564,10.838505,0.5738327572016461,0.17056039094650208,0.403272366,Element1:Os_all;Element2:W_all,W_all;Os_all,3.1134222911111107,3.258335735462963,-0.910339988,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81.481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.518519,0,0,0,0,1,0,1
Os12W42,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Os 17Jan2003,3.165032873460556,0.4003903983131143,-0.214607295,-0.185783103,10.732477,0.5795706790123456,0.200196646,0.37937403292181066,Element1:Os_all;Element2:W_all,W_all;Os_all,3.176335145092592,3.4603134682407406,-0.839753463,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77.777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.222222,0,0,0,0,1,0,1
Pd2W52,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pd 04Jan2005,3.184449568224902,-0.069758645,0.034879323,0.034879323,11.022911,0.3804506790123457,0.028576090534979424,0.35187458847736625,Element1:Pd_all;Element2:W_all,W_all;Pd_all,3.038023467685185,2.3343222392592593,-1.113559812,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pd4W50,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pd 04Jan2005,3.183071565747086,-0.199041908,0.25460595886145126,-0.055564051,10.958288,0.4222933744855967,0.054587407407407404,0.36770596707818926,Element1:Pd_all;Element2:W_all,W_all;Pd_all,3.156848595648148,2.4614612407407406,-1.087754407,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pd6W48,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pd 04Jan2005,3.181551779401205,-0.201045925,0.1650891372386498,0.035956787,10.925095,0.5005310000000001,0.08046137,0.4200696296296296,Element1:Pd_all;Element2:W_all,W_all;Pd_all,3.2470037586111107,2.6059725055555556,-1.082864669,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pd8W46,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pd 04Jan2005,3.179156220180177,-0.520280276,0.7162147822988228,-0.195934506,10.880465,0.533712537,0.10460231481481481,0.4291102222222222,Element1:Pd_all;Element2:W_all,W_all;Pd_all,3.336758560092593,2.741923860925926,-1.062350497,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pd10W44,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pd 04Jan2005,3.1774766414363076,0.8082189439191718,-0.55173771,-0.256481234,10.838227,0.5398072839506173,0.1183162757201646,0.42149100823045266,Element1:Pd_all;Element2:W_all,W_all;Pd_all,3.4537575909259264,2.8766992310185184,-1.05678668,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pd12W42,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pd 04Jan2005,3.175617893594592,-0.039883882,0.13850132181597638,-0.09861744,10.792902,0.6164848765432098,0.15149703703703704,0.4649878395061728,Element1:Pd_all;Element2:W_all,W_all;Pd_all,3.5704808850000003,3.0150644691666666,-1.044564545,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pt2W52,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pt 04Feb2005,3.185156661588165,0.058000922692833586,0.058000922692833586,-0.116001845,11.099075,0.35487932098765435,0.029637201646090534,0.32524211934156383,Element1:Pt_all;Element2:W_all,W_all;Pt_all,2.975419944537037,2.335390562685185,-1.165926328,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pt4W50,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pt 04Feb2005,3.184778414028846,-0.352732474,0.3163103948604037,0.036422079590466075,11.08716,0.44704820987654326,0.062114670781893006,0.3849335390946503,Element1:Pt_all;Element2:W_all,W_all;Pt_all,3.0057159251851853,2.4669801155555557,-1.1608533,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pt6W48,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pt 04Feb2005,3.1838820615778194,0.1440669278701947,-0.287815761,0.14374883329787616,11.08002,0.42482987654320986,0.068759774,0.35607010288065843,Element1:Pt_all;Element2:W_all,W_all;Pt_all,3.0420280353703704,2.6091981639814814,-1.157409767,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pt8W46,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pt 04Feb2005,3.1832308950725356,0.5765342525216237,-0.538175648,-0.038358605,11.06043,0.5046532510288065,0.095909177,0.40874407407407404,Element1:Pt_all;Element2:W_all,W_all;Pt_all,3.0976623044444445,2.7509115149074073,-1.157217851,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pt10W44,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pt 04Feb2005,3.182202791608535,-1.528066426,0.7355435395159531,0.7925228868956092,11.034272,0.5355836213991769,0.11778010288065843,0.41780351851851855,Element1:Pt_all;Element2:W_all,W_all;Pt_all,3.1628067087962966,2.883242346203704,-1.142522773,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Pt12W42,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Pt 04Feb2005,3.180243253953021,-2.371450314,1.6698796875784274,0.7015706268116517,11.061684,0.5199455925925927,0.11877124074074075,0.40117435185185185,Element1:Pt_all;Element2:W_all,W_all;Pt_all,3.207374743,3.0295997337037033,-1.156876645,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Re2W52,bcc,PAW_PBE W_sv_GW 23Mar2010; PAW_PBE Re_sv_GW 23Mar2010,3.1733861928249514,0,0,-1.87E-14,12.531643,0.33341395833333337,0.016076875000000004,0.3173370833333334,Element1:Re_all;Element2:W_all,W_all;Re_all,2.5894098253703706,3.6704478168518513,0.071368424,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96.296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703704,0,0,0,0,0,0,1,0,1
Re4W50,bcc,PAW_PBE W_sv_GW 23Mar2010; PAW_PBE Re_sv_GW 23Mar2010,3.1703551188641805,0.01125643,-0.007850102,-0.003406328,12.612395,0.3771816898148149,0.039002986,0.3381787037037038,Element1:Re_all;Element2:W_all,W_all;Re_all,2.5985132878703703,3.6738456724074076,-0.02535629,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,92.592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.407407,0,0,0,0,0,0,1,0,1
Re8W46,bcc,PAW_PBE W_sv_GW 23Mar2010; PAW_PBE Re_sv_GW 23Mar2010,3.1648463102482767,-0.006526515,0.007901062,-0.001374547,12.730622,0.4180532638888889,0.093799514,0.32425375,Element1:Re_all;Element2:W_all,W_all;Re_all,2.631867939722222,3.684735578,-0.158137614,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85.185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.814815,0,0,0,0,0,0,1,0,1
Re10W44,bcc,PAW_PBE W_sv_GW 23Mar2010; PAW_PBE Re_sv_GW 23Mar2010,3.1622760216839616,0.001593602,-0.010159443,0.00856584,12.784039,0.5015530787037037,0.13194393518518518,0.36960914351851853,Element1:Re_all;Element2:W_all,W_all;Re_all,2.6465002859259252,3.6883345433333337,-0.224919027,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81.481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.518519,0,0,0,0,0,0,1,0,1
Rh2W52,bcc,PAW_PBE W_sv 04Sep2015; PAW_PBE Rh_pv 25Jan2005,3.181920728597776,-0.009754273,0.004877136,0.004877136,11.12146,0.40873335390946497,0.051899012,0.35683434156378596,Element1:Rh_all;Element2:W_all,W_all;Rh_all,3.0428761790740744,3.6532193088888896,0.008424748,PDOS_USER_D.dat (all atoms),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
